Folder,Subfolder,Filename,EntryIndex,Raw Transcription,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Norm_Age,Norm_Gender,Norm_Burn_Count,Norm_Region,Burn_Status
2024 Field Notes Images,J3 - Survival,IMG_2903.HEIC,4,"Q1: 32 | Q2: Female | Q3: Seattle, WA | Q4: 3 | Q5: Nourishing snack ballz | Q6: MAYO Prize Wheel | Q7: 19 | Q8: lil gifts of connection love, and joy!",32,Female,"Seattle, WA",3,Nourishing snack ballz,MAYO Prize Wheel,19,"lil gifts of connection love, and joy!",,,,,,,,32,F,3,US Other,Sophomore
2024 Field Notes Images,J3 - Survival,IMG_2903.HEIC,5,"Q1: 36 | Q2: Male | Q3: Oakland | Q4: 4.8 | Q5: Goggles | Q6: USB neck fans | Q7: 16-20 | Q8: Collective Physical camp infrastructure. (Shade tent, kitchen, shower etc.)",36,Male,Oakland,4.8,Goggles,USB neck fans,16-20,"Collective Physical camp infrastructure. (Shade tent, kitchen, shower etc.)",,,,,,,,36,M,4,Local/West,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2912.HEIC,1,"Q1: 42 | Q2: Mole | Q3: Squamish, BC, Camela | Q4: 6 | Q5: cup! | Q6: 7",42,Mole,"Squamish, BC, Camela",6,cup!,7,,,,,,,,,,42,O,6,Local/West,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2912.HEIC,2,"Q1: 43 | Q2: F | Q3: VEGAS, INV | Q4: 9 | Q5: SHELTER | Q6: Roomba | Q7: 8 | Q8: several ways | Q9: Water | Q10: Snacks | Q11: SHADE",43,F,"VEGAS, INV",9,SHELTER,Roomba,8,several ways Water Snacks SHADE,,,,,,,,43,F,9,Local/West,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2912.HEIC,3,"Q1: 30 | Q2: F | Q3: Oakland, CA | Q4: 4 (one time was Renagadelarn 2021) | Q5: Shelter/Yurt | Q6: Frother | Q7: 12 days | Q8: For the vibes",30,F,"Oakland, CA",4 (one time was Renagadelarn 2021),Shelter/Yurt,Frother,12 days,For the vibes,,,,,,,,30,F,4,Local/West,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2899.HEIC,1,Q1: 41 | Q2: Male | Q3: Wisconsin | Q4: 6 | Q5: Spotted cow beer | Q6: Sewing thread | Q7: like 26 | Q8: drugs I was tou 1024 to bring,41,Male,Wisconsin,6,Spotted cow beer,Sewing thread,like 26,drugs I was tou 1024 to bring,,,,,,,,41,M,6,US Other,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2925.HEIC,1,"Q1: 34 | Q2: F | Q3: Berkeley, CA | Q4: 16 | Q5: changed the course",34,F,"Berkeley, CA",16,changed the course,,,,,,,,,,,34,F,16,Local/West,Elder
2024 Field Notes Images,J3 - Survival,IMG_2930.HEIC,1,"Q1: 56 | Q2: FemBot (F) | Q3: Colorado | Q4: 10 | Q5: My husband, (+ mybike) | Q6: Megaphone | Q7: 3-4 weeks | Q8: Help me spread and share miracles and the gift of joy",56,FemBot (F),Colorado,10,"My husband, (+ mybike)",Megaphone,3-4 weeks,Help me spread and share miracles and the gift of joy,,,,,,,,56,O,10,US Other,Elder
2024 Field Notes Images,J3 - Survival,IMG_2909.HEIC,1,"Q1: 83yrs | Q2: M | Q3: USA, CA, Org, FtoVly | Q4: 19 | Q5: Water incl. for drinking ofer Flushing myown portapotty | Q6: My own portapotty (Sears) | Q7: 2wks (the food is the limit Ibnot. | Q8: Strangers helped when a bite colli Dred w. me- two different occasion despite mines being well lit + the others not.",83yrs,M,"USA, CA, Org, FtoVly",19,Water incl. for drinking ofer Flushing myown portapotty,My own portapotty (Sears),2wks (the food is the limit Ibnot.,Strangers helped when a bite colli Dred w. me- two different occasion despite mines being well lit + the others not.,,,,,,,,83,M,19,Local/West,Elder
2024 Field Notes Images,J3 - Survival,IMG_2909.HEIC,2,Q1: 16 | Q2: MALE | Q3: SEATTLE | Q4: 6 | Q5: WATER JUGS | Q6: DUCK TAPE | Q7: 20+ OAUS | Q8: RANDOM STUFF ? FORGET TO BRINES.,16,MALE,SEATTLE,6,WATER JUGS,DUCK TAPE,20+ OAUS,RANDOM STUFF ? FORGET TO BRINES.,,,,,,,,16,M,6,US Other,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2897.HEIC,1,"Q1: [Blank] | Q2: Nonbinary | Q3: Oakland, CA | Q4: 6$ | Q5: Dust mask giant | Q6: squishmallow | Q7: 14 days | Q8: I rely on my two campmates to have the strength & stamina to pull a bit more than their fair share.",[Blank],Nonbinary,"Oakland, CA",6$,Dust mask giant,squishmallow,14 days,I rely on my two campmates to have the strength & stamina to pull a bit more than their fair share.,,,,,,,,,NB,6,Local/West,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2896.HEIC,1,"Q1: 52 | Q2: MALE | Q3: VANCOUVER, BC, CANADA | Q4: 1 | Q5: CUP | Q6: [Blank] | Q7: 4 | Q8: SHARE SUPPLIES",52,MALE,"VANCOUVER, BC, CANADA",1,CUP,[Blank],4,SHARE SUPPLIES,,,,,,,,52,M,1,Local/West,Virgin
2024 Field Notes Images,J3 - Survival,IMG_2896.HEIC,2,Q1: 61 | Q2: Female | Q3: Battle Creek MI | Q4: 5 | Q5: My Bike | Q6: Down Comforter | Q7: 4 days | Q8: Provide what I forgot,61,Female,Battle Creek MI,5,My Bike,Down Comforter,4 days,Provide what I forgot,,,,,,,,61,F,5,US Other,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2926.HEIC,1,Q1: 26 | Q2: M | Q3: Seattle | Q4: 1 | Q5: Me | Q6: [Blank] | Q7: 54 | Q8: I can survive by my own,26,M,Seattle,1,Me,[Blank],54,I can survive by my own,,,,,,,,26,M,1,US Other,Virgin
2024 Field Notes Images,J3 - Survival,IMG_2926.HEIC,2,Q1: 40 | Q2: F | Q3: AK | Q4: One | Q5: Water pouch backpack | Q6: Breast pumps-battery operated electric & hand pump Milk It | Q7: 10 days comfortable 2 week if I had too | Q8: My husband is my know how- prep it guy. I rely on him (maybe a little too much),40,F,AK,One,Water pouch backpack,Breast pumps-battery operated electric & hand pump Milk It,10 days comfortable 2 week if I had too,My husband is my know how- prep it guy. I rely on him (maybe a little too much),,,,,,,,40,F,,US Other,Unknown
2024 Field Notes Images,J3 - Survival,IMG_2931.HEIC,1,Q1: [Blank] | Q2: [Blank] | Q3: [Blank] | Q4: [Blank],[Blank],[Blank],[Blank],[Blank],,,,,,,,,,,,,O,,Local/West,Unknown
2024 Field Notes Images,J3 - Survival,IMG_2907.HEIC,1,"Q1: 36 | Q2: M | Q3: UK | Q4: 5 | Q5: Sunglasses/Goggles | Q6: teleport gun | Q7: 15 days | Q8: Shower, hot wate, transport",36,M,UK,5,Sunglasses/Goggles,teleport gun,15 days,"Shower, hot wate, transport",,,,,,,,36,M,5,International,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2907.HEIC,2,Q1: 28 | Q2: female | Q3: NYC | Q4: one | Q5: bike | Q6: weird rubbery dish sponge | Q7: 14 | Q8: be willing to ask for help!,28,female,NYC,one,bike,weird rubbery dish sponge,14,be willing to ask for help!,,,,,,,,28,F,,US Other,Unknown
2024 Field Notes Images,J3 - Survival,IMG_2927.HEIC,1,"Q1: 27 | Q2: FEMALE | Q3: BELLEVUE, WA | Q4: 1. TIMES | Q5: SWISS ARMY ! | Q6: SWISS ARMY | Q7: 2 WEEKS | Q8: PORTA POTTY",27,FEMALE,"BELLEVUE, WA",1. TIMES,SWISS ARMY !,SWISS ARMY,2 WEEKS,PORTA POTTY,,,,,,,,27,F,1,US Other,Virgin
2024 Field Notes Images,J3 - Survival,IMG_2911.HEIC,1,"Q1: 25 | Q2: Female | Q3: Big Sky, Montana | Q4: 4 | Q5: Water | Q6: Necklaces | Q7: 14 days | Q8: making memones",25,Female,"Big Sky, Montana",4,Water,Necklaces,14 days,making memones,,,,,,,,25,F,4,US Other,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2911.HEIC,2,"Q1: 67 | Q2: M | Q3: 92683 CALIC | Q4: First Time botNOT LAST | Q5: I was abducted by Gypse | Q6: Yes Lots of SLAR | Q7: Pass | Q8: yes | Q9: sure ""ask Not what your Burn but ask... | Q10: Yes Because Every bit helke",67,M,92683 CALIC,First Time botNOT LAST,I was abducted by Gypse,Yes Lots of SLAR,Pass,"yes sure ""ask Not what your Burn but ask... Yes Because Every bit helke",,,,,,,,67,M,1,Local/West,Virgin
2024 Field Notes Images,J3 - Survival,IMG_2911.HEIC,3,Q1: 724 | Q2: Female | Q3: LA | Q4: 1 | Q5: a warm jacket | Q6: a man | Q7: As long as it goes th | Q8: connection a sense of belonging and radical understanding,724,Female,LA,1,a warm jacket,a man,As long as it goes th,connection a sense of belonging and radical understanding,,,,,,,,,F,1,Local/West,Virgin
2024 Field Notes Images,J3 - Survival,IMG_2900.HEIC,1,"Q1: 40 | Q2: Female | Q3: Portland, OR | Q4: 5 | Q5: shelfor | Q6: vinegar | Q7: 3 weeks | Q8: I don't.",40,Female,"Portland, OR",5,shelfor,vinegar,3 weeks,I don't.,,,,,,,,40,F,5,Local/West,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2900.HEIC,2,Q1: 26 | Q2: Fem | Q3: Phx AZ | Q4: 4 | Q5: sun protection (ginger) | Q6: canvases & paint? | Q7: 14 days | Q8: connection & inspiration,26,Fem,Phx AZ,4,sun protection (ginger),canvases & paint?,14 days,connection & inspiration,,,,,,,,26,O,4,US Other,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2916.HEIC,1,"Q1: 6 3 | Q2: female | Q3: Europa, Austria, Vienna | Q4: 2 | Q5: water | Q6: nolling | Q7: 10 | Q8: we rely ourselves",6 3,female,"Europa, Austria, Vienna",2,water,nolling,10,we rely ourselves,,,,,,,,6,F,2,US Other,Sophomore
2024 Field Notes Images,J3 - Survival,IMG_2916.HEIC,2,Q1: 40 | Q2: female | Q3: Portland. OR. | Q4: 1 | Q5: Vineyar | Q6: [Blank] | Q7: 10 Days. | Q8: Share responsibility & Take care of each other.,40,female,Portland. OR.,1,Vineyar,[Blank],10 Days.,Share responsibility & Take care of each other.,,,,,,,,40,F,1,Local/West,Virgin
2024 Field Notes Images,J3 - Survival,IMG_2936.HEIC,1,"Q1: 27 | Q2: M | Q3: PHX, AZ | Q4: 4 | Q5: Water | Q6: something good 2 read | Q7: 104 | Q8: be a good neighbor, share and partake",27,M,"PHX, AZ",4,Water,something good 2 read,104,"be a good neighbor, share and partake",,,,,,,,27,M,4,US Other,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2936.HEIC,2,"Q1: 26 | Q2: F | Q3: SD, CA | Q4: 2 | Q5: open mind, open heart, water, good shoes | Q6: All the random costumes | Q7: Depends on the whole community | Q8: Be as teve and open as you can and Stay positive for each other ♡ 333 ♁ 2024 xo",26,F,"SD, CA",2,"open mind, open heart, water, good shoes",All the random costumes,Depends on the whole community,Be as teve and open as you can and Stay positive for each other ♡ 333 ♁ 2024 xo,,,,,,,,26,F,2,Local/West,Sophomore
2024 Field Notes Images,J3 - Survival,IMG_2920.HEIC,1,"Q1: 35 | Q2: female | Q3: Reno, NV | Q4: 3 | Q5: bike | Q6: [Blank] | Q7: 10 | Q8: shade & Community | Q9: [Blank]",35,female,"Reno, NV",3,bike,[Blank],10,shade & Community [Blank],,,,,,,,35,F,3,Local/West,Sophomore
2024 Field Notes Images,J3 - Survival,IMG_2920.HEIC,2,"Q1: 38 | Q2: female | Q3: Salt Lake City, UT | Q4: four | Q5: [Blank] | Q6: [Blank] | Q7: No | Q8: jealousy | Q9: [Blank]",38,female,"Salt Lake City, UT",four,[Blank],[Blank],No,jealousy [Blank],,,,,,,,38,F,,Local/West,Unknown
2024 Field Notes Images,J3 - Survival,IMG_2921.HEIC,1,Q1: 18 | Q2: Female | Q3: Oakland | Q4: 16 | Q5: Baby carrots to put up nose | Q6: Baby carrots | Q7: 1 1/2 | Q8: & ask my mom,18,Female,Oakland,16,Baby carrots to put up nose,Baby carrots,1 1/2,& ask my mom,,,,,,,,18,F,16,Local/West,Elder
2024 Field Notes Images,J3 - Survival,IMG_2917.HEIC,1,Q1: 31 | Q2: Female | Q3: US | Q4: 5 | Q5: water | Q6: my house | Q7: 14 days | Q8: we're all each other's dads,31,Female,US,5,water,my house,14 days,we're all each other's dads,,,,,,,,31,F,5,US Other,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2917.HEIC,2,Q1: 36 | Q2: Female | Q3: U.S. Los Angeles | Q4: 11 | Q5: Grilled cheeses! | Q6: a broom | Q7: 16 | Q8: Emotional Support,36,Female,U.S. Los Angeles,11,Grilled cheeses!,a broom,16,Emotional Support,,,,,,,,36,F,11,Local/West,Elder
2024 Field Notes Images,F2 - Costumes,IMG_2590.HEIC,1,"Q1: [Blank] | Q2: Man | Q3: the town/510/Oakon | Q4: NO | Q5: Yer | Q6: Both | Q7: Yes, Positively",[Blank],Man,the town/510/Oakon,NO,Yer,Both,"Yes, Positively",,,,,,,,,,M,,US Other,Unknown
2024 Field Notes Images,J3 - Survival,IMG_2901.HEIC,1,"Q1: 25 | Q2: Female | Q3: SLC Utah | Q4: 6 | Q5: Water! | Q6: IDK! | Q7: Probably 2 wkst, I brought alot | Q8: Use resources together!",25,Female,SLC Utah,6,Water!,IDK!,"Probably 2 wkst, I brought alot",Use resources together!,,,,,,,,25,F,6,US Other,Veteran
2024 Field Notes Images,J3 - Survival,IMG_2901.HEIC,2,"Q1: 3 | Q2: male | Q3: CA | Q4: 2 | Q5: Beer | Q6: tapon, narcan | Q7: 1 | Q8: Helping out my camp!",3,male,CA,2,Beer,"tapon, narcan",1,Helping out my camp!,,,,,,,,3,M,2,Local/West,Sophomore
2024 Field Notes Images,F2 - Costumes,IMG_2597.HEIC,1,Q1: 159 | Q2: 2M | Q3: WINTER PARK | Q4: ONE | Q5: MOST OF THE TIME - IT'S FUN | Q6: I JUST TAKE MOST OF MY SHIRTS AND STUFF AND THEN FIND WHAT SEEMS BEST EVERY DAY - SO NO!,159,2M,WINTER PARK,ONE,MOST OF THE TIME - IT'S FUN,I JUST TAKE MOST OF MY SHIRTS AND STUFF AND THEN FIND WHAT SEEMS BEST EVERY DAY - SO NO!,,,,,,,,,,,O,,US Other,Unknown
2024 Field Notes Images,F2 - Costumes,IMG_2586.HEIC,1,Q1: 38 | Q2: Male | Q3: Sydney | Q4: This is the first | Q5: I don't wear Costumes. I'm not confident enough | Q6: I decide based on functoin and practicality. | Q7: so far no,38,Male,Sydney,This is the first,I don't wear Costumes. I'm not confident enough,I decide based on functoin and practicality.,so far no,,,,,,,,,38,M,1,US Other,Virgin
2024 Field Notes Images,F2 - Costumes,IMG_2586.HEIC,2,"Q1: 47 | Q2: F | Q3: Reo, NV | Q4: 6 | Q5: yep | Q6: spontanears | Q7: yep",47,F,"Reo, NV",6,yep,spontanears,yep,,,,,,,,,47,F,6,Local/West,Veteran
2024 Field Notes Images,F2 - Costumes,IMG_2596.HEIC,1,"Q1: 37 | Q2: Female | Q3: San Diego | Q4: 10x | Q5: FUCK YES! | Q6: comfort, cozy, sometimes | Q7: yes! | Q8: [Blank] | Q9: [Blank]",37,Female,San Diego,10x,FUCK YES!,"comfort, cozy, sometimes",yes! [Blank] [Blank],,,,,,,,,37,F,10,US Other,Elder
2024 Field Notes Images,F2 - Costumes,IMG_2596.HEIC,2,"Q1: 34 | Q2: male | Q3: VA | Q4: firsttime | Q5: yes, to be out in my comfort zone | Q6: I didn't plan, went online and celected what I liked | Q7: yes outfits help to start the conversation",34,male,VA,firsttime,"yes, to be out in my comfort zone","I didn't plan, went online and celected what I liked",yes outfits help to start the conversation,,,,,,,,,34,M,1,US Other,Virgin
2024 Field Notes Images,F2 - Costumes,IMG_2591.HEIC,1,"Q1: 37 | Q2: M | Q3: on a ladder | Q4: 3 | Q5: most definetly. | Q6: Both | Q7: Yes, Positively",37,M,on a ladder,3,most definetly.,Both,"Yes, Positively",,,,,,,,,37,M,3,Local/West,Sophomore
2024 Field Notes Images,F2 - Costumes,IMG_2603.HEIC,1,Q1: 39 | Q2: Male | Q3: Chicago | Q4: 4 times | Q5: Fuck Yeah! Express Yo self! | Q6: Plan ahead. I love all my Pieces | Q7: Sometimes. Get lots of Compliments,39,Male,Chicago,4 times,Fuck Yeah! Express Yo self!,Plan ahead. I love all my Pieces,Sometimes. Get lots of Compliments,,,,,,,,,39,M,4,Local/West,Veteran
2024 Field Notes Images,F2 - Costumes,IMG_2592.HEIC,1,Q1: 45 | Q2: M | Q3: BRASIL | Q4: 1 | Q5: NO | Q6: NA | Q7: no,45,M,BRASIL,1,NO,NA,no,,,,,,,,,45,M,1,US Other,Virgin
2024 Field Notes Images,F2 - Costumes,IMG_2602.HEIC,1,Q1: 41 | Q2: Female | Q3: New York | Q4: 4 times | Q5: Yes. | Q6: Radical self reliance | Q7: Yes.,41,Female,New York,4 times,Yes.,Radical self reliance,Yes.,,,,,,,,,41,F,4,US Other,Veteran
2024 Field Notes Images,F2 - Costumes,IMG_2587.HEIC,1,"Q1: 39 years | Q2: Male | Q3: Côte Saint-Luc, Québec, Canada | Q4: [Blank] | Q5: sort of. I have a mix of clothes, colour themes, etc... but prioritize desert or climate outfits. | Q6: I planned desert wear ahead... but pessetes on my first full day, & re-organised my attire on theme wear | Q7: I don't think so... never noticed,",39 years,Male,"Côte Saint-Luc, Québec, Canada",[Blank],"sort of. I have a mix of clothes, colour themes, etc... but prioritize desert or climate outfits.","I planned desert wear ahead... but pessetes on my first full day, & re-organised my attire on theme wear","I don't think so... never noticed,",,,,,,,,,39,M,,Local/West,Unknown
2024 Field Notes Images,F2 - Costumes,IMG_2587.HEIC,2,Q1: 38 yo | Q2: female | Q3: NY | Q4: 2 | Q5: I do. I like the transformation and the way others change. | Q6: I plan ahead. But somelines I combine different stuff | Q7: Sometimes,38 yo,female,NY,2,I do. I like the transformation and the way others change.,I plan ahead. But somelines I combine different stuff,Sometimes,,,,,,,,,38,F,2,US Other,Sophomore
2024 Field Notes Images,F2 - Costumes,IMG_2588.HEIC,1,"Q1: 37 | Q2: [Illegible] | Q3: GUADELOUPE (FRENCH (CARIBBEAN ISLAND)) | Q4: 2 | Q5: kind of - Funny clothes at least Nice to wear things you would't in default world | Q6: Just flew to Vegas, and bought Funny clothes in Vegas shops 2 dofs before B.7. | Q7: I da't thak so",37,[Illegible],GUADELOUPE (FRENCH (CARIBBEAN ISLAND)),2,kind of - Funny clothes at least Nice to wear things you would't in default world,"Just flew to Vegas, and bought Funny clothes in Vegas shops 2 dofs before B.7.",I da't thak so,,,,,,,,,37,O,2,Local/West,Sophomore
2024 Field Notes Images,F2 - Costumes,IMG_2588.HEIC,2,"Q1: 27 | Q2: tende | Q3: Israel | Q4: [Blank] | Q5: Just a bit of costume, not something extra | Q6: thinking about heutty and confort | Q7: No.",27,tende,Israel,[Blank],"Just a bit of costume, not something extra",thinking about heutty and confort,No.,,,,,,,,,27,O,,International,Unknown
2024 Field Notes Images,F2 - Costumes,IMG_2584.HEIC,1,No entries found,,,,,,,,,,,,,,,,,U,,Unknown,Unknown
2024 Field Notes Images,F2 - Costumes,IMG_2593.HEIC,1,"Q1: 37 | Q2: Male | Q3: Originally from Maine, but I have been traveling the US for the last 3 years. Nomads | Q4: This is my first burm! | Q5: Yes! I love to express myself. | Q6: Wes not prepared for this barn. I got what I could | Q7: No, I feel no judgement",37,Male,"Originally from Maine, but I have been traveling the US for the last 3 years. Nomads",This is my first burm!,Yes! I love to express myself.,Wes not prepared for this barn. I got what I could,"No, I feel no judgement",,,,,,,,,37,M,1,Local/West,Virgin
2024 Field Notes Images,F2 - Costumes,IMG_2594.HEIC,1,"Q1: 54 | Q2: M | Q3: Austin TX | Q4: ONE | Q5: YES - A MIX OF DIFFERENTIATON AND COMMUNITY BUT I DON'T DRESS AS SOME FORMULA RECOGNIZAPLE THEME STILL THESE ARE COSTUMES | Q6: I MIX IT UP I PREPARE MODULAR COM PONENTS AND THEN LET THE MOOD, THE WEATHER, ENTROPY WHATEVES CHANGE IT - AND ME | Q7: YES. PRESENTATION 15 AN ET, QUETTE TO LET PEOPLE APPROACH EASILY AND WITH AN EASY SUBTERT",54,M,Austin TX,ONE,YES - A MIX OF DIFFERENTIATON AND COMMUNITY BUT I DON'T DRESS AS SOME FORMULA RECOGNIZAPLE THEME STILL THESE ARE COSTUMES,"I MIX IT UP I PREPARE MODULAR COM PONENTS AND THEN LET THE MOOD, THE WEATHER, ENTROPY WHATEVES CHANGE IT - AND ME","YES. PRESENTATION 15 AN ET, QUETTE TO LET PEOPLE APPROACH EASILY AND WITH AN EASY SUBTERT",,,,,,,,,54,M,,US Other,Unknown
2024 Field Notes Images,F2 - Costumes,IMG_2589.HEIC,1,Q1: 37y | Q2: M | Q3: FRANCE | Q4: first time | Q5: Always trying to | Q6: This year is Alicen wordestand I'll teve So I'm ganz try to stickit toil | Q7: I don't think so. It's doubindran of personality and what you expresst,37y,M,FRANCE,first time,Always trying to,This year is Alicen wordestand I'll teve So I'm ganz try to stickit toil,I don't think so. It's doubindran of personality and what you expresst,,,,,,,,,37,M,1,International,Virgin
2024 Field Notes Images,F2 - Costumes,IMG_2589.HEIC,2,"Q1: 56 | Q2: F | Q3: Bay Area | Q4: first visgon | Q5: Sono / I am that way it's not a costume | Q6: packed my ""me"" Clothes | Q7:  where: I guess, it depeds mot at myowntime",56,F,Bay Area,first visgon,Sono / I am that way it's not a costume,"packed my ""me"" Clothes","where: I guess, it depeds mot at myowntime",,,,,,,,,56,F,1,US Other,Virgin
2024 Field Notes Images,F2 - Costumes,IMG_2598.HEIC,1,"Q1: 39 | Q2: M | Q3: Cortland, NY | Q4: once! | Q5: Yes, But comfort is key | Q6: I plan to Shop, But choose Spontaneously | Q7: Participation is one of Principles and is a great Conversation Sturter",39,M,"Cortland, NY",once!,"Yes, But comfort is key","I plan to Shop, But choose Spontaneously",Participation is one of Principles and is a great Conversation Sturter,,,,,,,,,39,M,1,Local/West,Virgin
2024 Field Notes Images,F2 - Costumes,IMG_2604.HEIC,1,Q1: Discopussy | Q2: 16 yrs | Q3: 8:15 E | Q4: 3 ppl | Q5: weirdos | Q6: yes,Discopussy,16 yrs,8:15 E,3 ppl,weirdos,yes,,,,,,,,,,,O,3,US Other,Sophomore
2024 Field Notes Images,F2 - Costumes,IMG_2604.HEIC,2,Q1: international,international,,,,,,,,,,,,,,,,U,,Unknown,Unknown
2024 Field Notes Images,D1 - Boundaries of Humanity,IMG_3169.HEIC,1,"Q1: 45 | Q2: Male | Q3: Leesburg, VA | Q4: 3 | Q5:  communication | Q6: empaths | Q7: possibly | Q8:  | Q9:  ",45,Male,"Leesburg, VA",3,communication,empaths,possibly,,,,,,,,,45,M,3,US Other,Sophomore
2024 Field Notes Images,D1 - Boundaries of Humanity,IMG_3165.HEIC,1,Q1: 35 | Q2: M 7 (Mrs. Smodbi) | Q3: W.W. (Romamia & Colombia) | Q4: 4 - 1 | Q5: 12. Ability to be clear | Q6: complex emotions -> IQ | Q7: No -> Depends on the case | Q8: we like to think that we are Unique | Q9: Mucho Amor,35,M 7 (Mrs. Smodbi),W.W. (Romamia & Colombia),1-Apr,12. Ability to be clear,complex emotions -> IQ,No -> Depends on the case,we like to think that we are Unique,Mucho Amor,,,,,,,35,O,1,US Other,Virgin
2024 Field Notes Images,F2 - Costumes,IMG_2595.HEIC,1,Q1: 2 1/2 yrs old | Q2: Girl | Q3: In a school bus | Q4: 2 | Q5: All of my outfits are costumes- I'm 2! | Q6: My mom kisses me. | Q7: Yes! Everyone talks to me.,2 1/2 yrs old,Girl,In a school bus,2,All of my outfits are costumes- I'm 2!,My mom kisses me.,Yes! Everyone talks to me.,,,,,,,,,2,F,2,US Other,Sophomore
2024 Field Notes Images,F2 - Costumes,IMG_2595.HEIC,2,"Q1: 36 | Q2: M | Q3: Fres YES, CA | Q4: once | Q5: yes to visually contribute | Q6: Feel the costume in the evening. | Q7: Yes. More or Less attention. I get to choose",36,M,"Fres YES, CA",once,yes to visually contribute,Feel the costume in the evening.,Yes. More or Less attention. I get to choose,,,,,,,,,36,M,1,Local/West,Virgin
2024 Field Notes Images,D1 - Boundaries of Humanity,IMG_3172.HEIC,1,Q1: 42 | Q2: Cismale | Q3: Lofayette CA | Q4: 6th Bura,42,Cismale,Lofayette CA,6th Bura,,,,,,,,,,,,42,O,6,Local/West,Veteran
2024 Field Notes Images,D1 - Boundaries of Humanity,IMG_3172.HEIC,2,"Q1: 30 | Q2: M | Q3: Palo Alto, CA | Q4: 3",30,M,"Palo Alto, CA",3,,,,,,,,,,,,30,M,3,Local/West,Sophomore
2024 Field Notes Images,D1 - Boundaries of Humanity,IMG_3173.HEIC,1,"Q1: 29 | Q2: Male | Q3: Denver, Colorado | Q4: 1 | Q5: hairy a mammalian brain over a reptile creating art, pursuit of spiritual path brain, | Q6: the soul container | Q7: That'd be hard to say, since different humans' moral worth differs so much | Q8: i get to make wipher songs, i was born wi a mohawk, my hair sticks up like alfalfa my collecten of experiences | Q9: i watch a lot of cosmicdisclosure",29,Male,"Denver, Colorado",1,"hairy a mammalian brain over a reptile creating art, pursuit of spiritual path brain,",the soul container,"That'd be hard to say, since different humans' moral worth differs so much","i get to make wipher songs, i was born wi a mohawk, my hair sticks up like alfalfa my collecten of experiences",i watch a lot of cosmicdisclosure,,,,,,,29,M,1,Local/West,Virgin
2024 Field Notes Images,D1 - Boundaries of Humanity,IMG_3168.HEIC,1,Q1: 41 | Q2: F | Q3: N2 | Q4: 2 | Q5: Tiger | Q6: Lion | Q7: 4 | Q8: FY | Q9: I am special.,41,F,N2,2,Tiger,Lion,4,FY,I am special.,,,,,,,41,F,2,US Other,Sophomore
2024 Field Notes Images,D1 - Boundaries of Humanity,IMG_3164.HEIC,1,Q1: 39 | Q2: Male | Q3: British Columbia Canada | Q4: 2 | Q5: Imagination & the ability to visualise a world outside of the immediate surroundings | Q6: Emotion beyond what can be Programmed | Q7: Not as far as we currently beleive | Q8: See question 5. ↑ | Q9: Liken AI to a tech development not an existence changing evolution. Things are seldom as bad as you dread; nor are the as good as you dream.,39,Male,British Columbia Canada,2,Imagination & the ability to visualise a world outside of the immediate surroundings,Emotion beyond what can be Programmed,Not as far as we currently beleive,See question 5. ↑,Liken AI to a tech development not an existence changing evolution. Things are seldom as bad as you dread; nor are the as good as you dream.,,,,,,,39,M,2,Local/West,Sophomore
2024 Field Notes Images,D1 - Boundaries of Humanity,IMG_3164.HEIC,2,Q1: 30 yrs old | Q2: female | Q3: DC | Q4: 1 | Q5: metacognition & anxiety | Q6: empathy (even illogical empathy) | Q7: maybe-depends on the data it is trained on | Q8: Questioning their self worth? | Q9: I am a grad student studying psychology.,30 yrs old,female,DC,1,metacognition & anxiety,empathy (even illogical empathy),maybe-depends on the data it is trained on,Questioning their self worth?,I am a grad student studying psychology.,,,,,,,30,F,1,US Other,Virgin
2024 Field Notes Images,D1 - Boundaries of Humanity,IMG_3163.HEIC,1,"Q1: 33 yrs old | Q2: MALE | Q3: Tulum/mexico | Q4: 2 times | Q5: WE ARE GREEDY | Q6: NOT SUNG | Q7: 7, 7es | Q8: my Loving matter | Q9: in soper worried and afrid of Future | Q10: Teandogus and Ai",33 yrs old,MALE,Tulum/mexico,2 times,WE ARE GREEDY,NOT SUNG,"7, 7es",my Loving matter,in soper worried and afrid of Future Teandogus and Ai,,,,,,,33,M,2,US Other,Sophomore
2024 Field Notes Images,D1 - Boundaries of Humanity,IMG_3154.HEIC,1,No entries found,,,,,,,,,,,,,,,,,U,,Unknown,Unknown
